Neighborhood,Intersection Count,Density (st. mi/area mi^2),Miles of Major Roads,Total Street Miles,Drive Alone (2010),Commute to Work: Carpool/Vanpool (2010),Commute to Work: Public Transportation (2010),Commute to Work: Motorcycle (2010),Commute to Work: Taxi (2010),Commute to Work: Bicycle (2010),Commute to Work: Walk (2010),Commute to Work: Other (2010),Population (2010),Total Working Pop. (Age 16+) (2010),Percent Working Pop.,Work at Home (2010)
Friendship,4,41.540597089827,0.566244165884337,4.40330329152167,0.357905982906,0.0683760683761,0.285256410256,0.0,0.0,0.0491452991453,0.200854700855,0.0,1785,936,52.436974789916,0.0384615384615
Garfield,5,36.030120670585,1.25475829275917,16.4657651464573,0.444972826087,0.0652173913043,0.272418478261,0.0,0.023097826087,0.0163043478261,0.135869565217,0.0,3675,1472,40.0544217687075,0.0421195652174
Glen Hazel,,5.63045278520011,0.146748492409337,2.56748647005125,0.640449438202,0.0,0.359550561798,0.0,0.0,0.0,0.0,0.0,716,89,12.4301675977654,0.0
Greenfield,6,35.9829908335549,3.87899484981989,27.814851914338,0.578730231492,0.141645656658,0.146229658492,0.0,0.00183360073344,0.0309420123768,0.0685308274123,0.00435480174192,7294,4363,59.8162873594735,0.0277332110933
Hays,1,6.89316524953301,6.44634569613125,12.0630391866828,0.819277108434,0.180722891566,0.0,0.0,0.0,0.0,0.0,0.0,362,166,45.8563535911602,0.0
Hazelwood,11,18.8744071723216,3.61293196699223,29.8781865537852,0.605552342394,0.0908039329092,0.258530942741,0.0,0.0,0.00404858299595,0.032967032967,0.0,4317,1729,40.0509613157285,0.0080971659919
Highland Park,5,23.348149097424,5.72668168099589,27.1538974003042,0.535550148689,0.121113814544,0.240335225737,0.0,0.0,0.0186536901865,0.0508245471749,0.0100027034334,6395,3699,57.842064112588,0.0235198702352
Homewood North,2,38.6867485560492,1.76142163165811,16.7900488733253,0.476149914821,0.0400340715503,0.357751277683,0.0,0.0,0.0,0.0775127768313,0.0,3280,1174,35.7926829268293,0.0485519591141
Homewood South,20,41.936869012063,1.75846048815536,16.6908738668011,0.454849498328,0.125418060201,0.341137123746,0.0,0.0,0.0,0.0434782608696,0.0,2344,598,25.5119453924915,0.0351170568562
Homewood West,6,32.2999632563669,1.58114060120371,6.42769268801701,0.284210526316,0.277192982456,0.305263157895,0.0,0.0,0.0,0.108771929825,0.0,818,285,34.841075794621,0.0245614035088
Knoxville,4,47.738831978572,1.20377400075905,14.4171272575287,0.484259879437,0.123911587408,0.304085733423,0.0,0.0,0.0,0.0750167448091,0.012726054923,3747,1493,39.8452095009341,0.0
Larimer,11,35.4795824477435,2.93054394963428,15.7884141892458,0.515151515152,0.0606060606061,0.309523809524,0.0,0.0,0.0,0.0930735930736,0.0,1728,462,26.7361111111111,0.021645021645
